Language,threads,mean
c,1,0.34
c,2,0.36
c,4,0.29
c,5,0.27
c,8,0.26
c,10,0.24
c,16,0.23
c,20,0.24
c,25,0.24
c,32,0.24
c,40,0.24
c,50,0.24
c,80,0.24
c,100,0.24
c,125,0.24
c,200,0.24
c,250,0.23
c,400,0.24
c,500,0.24
c_openmp,1,0.54
c_openmp,2,0.48
c_openmp,4,0.45
c_openmp,5,0.42
c_openmp,8,0.4
c_openmp,10,0.4
c_openmp,16,0.34
c_openmp,20,0.33
c_openmp,25,0.32
c_openmp,32,0.28
c_openmp,40,0.23
c_openmp,50,0.2
c_openmp,80,0.15
c_openmp,100,0.12
c_openmp,125,0.11
c_openmp,200,0.1
c_openmp,250,0.09
c_openmp,400,0.07
c_openmp,500,0.06
clojure,1,12.65
clojure,2,11.89
clojure,4,13.32
clojure,5,13.02
clojure,8,13.43
clojure,10,13.92
clojure,16,13.87
clojure,20,14.63
clojure,25,14.71
clojure,32,14.3
clojure,40,14.76
clojure,50,14.09
clojure,80,14.67
clojure,100,14.35
clojure,125,14.46
clojure,200,14.33
clojure,250,14.45
clojure,400,14.75
clojure,500,15.45
cpp,1,1.63
cpp,2,0.97
cpp,4,0.56
cpp,5,0.47
cpp,8,0.28
cpp,10,0.26
cpp,16,0.17
cpp,20,0.19
cpp,25,0.2
cpp,32,0.18
cpp,40,0.17
cpp,50,0.18
cpp,80,0.18
cpp,100,0.18
cpp,125,0.2
cpp,200,0.2
cpp,250,0.2
cpp,400,0.24
cpp,500,0.24
erlang,1,17884.84
erlang,2,4182.26
erlang,4,879.16
erlang,5,698.78
erlang,8,273.36
erlang,10,148.15
erlang,16,82.51
erlang,20,70.29
erlang,25,43.28
erlang,32,40.02
erlang,40,33.27
erlang,50,26.83
erlang,80,15.96
erlang,100,13.81
erlang,125,11.36
erlang,200,7.36
erlang,250,6.5
erlang,400,4.42
erlang,500,3.88
go,1,1.13
go,2,1.13
go,4,1.09
go,5,1.1
go,8,1.1
go,10,1.1
go,16,1.09
go,20,1.07
go,25,1.04
go,32,1.06
go,40,1.04
go,50,1.03
go,80,1.07
go,100,1.08
go,125,1.08
go,200,1.08
go,250,1.06
go,400,1.08
go,500,1.05
java_new,1,3.95
java_new,2,3.53
java_new,4,2.01
java_new,5,1.65
java_new,8,1.2
java_new,10,0.98
java_new,16,0.79
java_new,20,0.87
java_new,25,0.84
java_new,32,0.82
java_new,40,0.81
java_new,50,0.9
java_new,80,0.88
java_new,100,0.88
java_new,125,0.87
java_new,200,1.2
java_new,250,1.38
java_new,400,1.08
java_new,500,1.1
java_old,1,2.23
java_old,2,1.26
java_old,4,0.79
java_old,5,0.7
java_old,8,0.55
java_old,10,0.5
java_old,16,0.44
java_old,20,0.49
java_old,25,0.48
java_old,32,0.5
java_old,40,0.44
java_old,50,0.53
java_old,80,0.51
java_old,100,0.59
java_old,125,0.55
java_old,200,0.62
java_old,250,0.58
java_old,400,0.64
java_old,500,0.67
python,1,32.22
python,2,101.27
python,4,110.31
python,5,111.57
python,8,113.35
python,10,113.33
python,16,114.46
python,20,114.46
python,25,114.93
python,32,115.58
python,40,116.24
python,50,117.34
python,80,117.42
python,100,119.03
python,125,120.01
python,200,120.45
python,250,122.01
python,400,121.81
python,500,122.23
scala,1,2.54
scala,2,3.62
scala,4,4.02
scala,5,4.54
scala,8,4.29
scala,10,4.59
scala,16,5
scala,20,6.23
scala,25,5.21
scala,32,5.11
scala,40,4.8
scala,50,5.78
scala,80,5.87
scala,100,4.45
scala,125,4.65
scala,200,4.64
scala,250,4.44
scala,400,6.47
scala,500,5.43
